name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
vision-models-30,user_30,Python,11116,2112,11116,664,2018-06-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
learn-bench-31,user_31,Python,14470,3038,14470,277,2020-04-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
vision-starter-32,user_32,Python,4649,1505,4649,271,2021-06-03 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
ai-models-33,user_33,Python,18128,4951,18128,198,2017-08-04 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
learn-lab-34,user_34,Python,6339,1227,6339,788,2021-06-02 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
ai-models-35,user_35,Python,11211,2620,11211,763,2018-06-27 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
agent-hub-36,user_36,Go,4558,1176,4558,56,2015-08-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
data-hub-37,user_37,Python,17462,4923,17462,569,2020-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
deep-toolkit-38,user_38,Go,5262,729,5262,71,2020-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
learn-bench-39,user_39,Python,8902,3055,8902,407,2017-09-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
nlp-hub-40,user_40,Python,12028,2940,12028,27,2022-09-02 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
deep-core-41,user_41,Python,13594,4842,13594,76,2021-08-11 10:00:00+00:00,2026-08-15 12:00:00+00:00,Unknown
Machine-models-42,user_42,Python,4479,936,4479,161,2022-10-27 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
ml-starter-43,user_43,JavaScript,17983,6746,17983,607,2021-12-07 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nn-models-44,user_44,JavaScript,13702,4648,13702,778,2015-06-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
nlp-bench-45,user_45,Unknown,14860,5456,14860,535,2017-05-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
nn-bench-46,user_46,Unknown,13164,1852,13164,286,2022-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
learn-pipeline-47,user_47,Unknown,30353,11545,30353,524,2019-09-23 10:00:00+00:00,2026-08-15 12:00:00+00:00,Unknown
learn-core-48,user_48,Python,14472,2178,14472,211,2014-04-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
nn-models-49,user_49,Python,8058,1986,8058,633,2019-07-06 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
Machine-Learning-From-Scratch,user_50,Jupyter Notebook,23541,6179,23541,332,2018-09-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
nlp-bench-51,user_51,Go,6830,1729,6830,229,2023-01-20 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
vision-hub-52,user_52,C++,19495,2961,19495,304,2022-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
agent-hub-53,user_53,Python,14522,5048,14522,789,2017-06-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
Machine-hub-54,user_54,R,38601,11762,38601,232,2015-05-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Unknown
ml-bench-55,user_55,JavaScript,26589,5236,26589,173,2015-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
graph-framework-56,user_56,Python,37996,12887,37996,739,2017-08-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
agent-toolkit-57,user_57,Go,29623,10168,29623,456,2014-06-03 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
Machine-Learning-58,user_58,Jupyter Notebook,10876,3230,10876,778,2017-02-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
deep-toolkit-59,user_59,Python,7897,2943,7897,556,2017-01-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
ml-toolkit-60,user_60,C++,82183,19804,82183,618,2016-08-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
vision-models-61,user_61,Jupyter Notebook,26749,7590,26749,195,2014-08-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
model-models-62,user_62,JavaScript,37402,8735,37402,342,2019-01-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
agent-core-63,user_63,Python,14079,3742,14079,664,2019-12-07 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nlp-hub-64,user_64,Python,30559,10515,30559,57,2021-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
model-hub-65,user_65,Python,33891,8949,33891,659,2023-01-20 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
nn-toolkit-66,user_66,Jupyter Notebook,19566,3593,19566,41,2023-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
vision-pipeline-67,user_67,Jupyter Notebook,21271,7803,21271,114,2016-09-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
deep-core-68,user_68,Python,17688,3671,17688,541,2020-04-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
vision-pipeline-69,user_69,Python,40251,10884,40251,452,2019-09-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
graph-framework-70,user_70,C++,19495,6710,19495,571,2020-05-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
model-bench-71,user_71,Python,10313,2930,10313,446,2021-08-11 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
learn-core-72,user_72,Python,10013,1176,10013,456,2018-09-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
data-bench-73,user_73,Unknown,9004,2648,9004,749,2021-12-07 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
agent-pipeline-74,user_74,Python,12683,1696,12683,674,2017-08-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
Applied-Machine-Learning,user_75,Unknown,13194,3694,13194,789,2015-06-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nlp-core-76,user_76,C++,66249,18320,66249,521,2022-09-02 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
ml-toolkit-77,user_77,Python,19001,6598,19001,312,2014-04-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
nn-models-78,user_78,Python,11211,3647,11211,211,2019-12-07 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
model-framework-79,user_79,Python,7897,2110,7897,105,2020-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
vision-models-80,user_80,Python,10313,2961,10313,382,2017-06-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
model-starter-81,user_81,Python,17462,4923,17462,419,2018-09-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
Machine-bench-82,user_82,Python,32173,7451,32173,184,2017-01-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
learn-core-83,user_83,Python,14079,3742,14079,720,2022-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
data-starter-84,user_84,JavaScript,86566,10107,86566,543,2022-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
model-bench-85,user_85,JavaScript,14860,2648,14860,652,2023-01-20 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
learn-lab-86,user_86,Python,13594,4842,13594,411,2021-08-11 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
vision-hub-87,user_87,Go,29623,10168,29623,398,2016-08-25 10:00:00+00:00,2026-08-15 12:00:00+00:00,Unknown
ml-toolkit-88,user_88,C++,19495,2961,19495,142,2017-08-04 10:00:00+00:00,2026-08-15 12:00:00+00:00,GNU General Public License v3.0
graph-framework-89,user_89,Python,14472,2178,14472,709,2020-04-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nn-models-90,user_90,Python,11211,2620,11211,624,2019-07-06 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nlp-core-91,user_91,Jupyter Notebook,37402,8735,37402,512,2017-02-14 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
data-hub-92,user_92,Jupyter Notebook,19566,3593,19566,376,2018-06-27 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
deep-toolkit-93,user_93,Python,17688,3671,17688,489,2023-10-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
ml-starter-94,user_94,Python,6339,1227,6339,124,2021-06-03 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
learn-bench-95,user_95,Unknown,14860,5456,14860,670,2022-03-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,Unknown
ai-models-96,user_96,Jupyter Notebook,18128,4951,18128,302,2020-05-18 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
model-starter-97,user_97,Unknown,30353,11545,30353,415,2019-09-24 10:00:00+00:00,2026-08-15 12:00:00+00:00,BSD 3-Clause
Machine-toolkit-98,user_98,C++,15464,3421,15464,198,2021-04-12 10:00:00+00:00,2026-08-15 12:00:00+00:00,MIT License
nn-starter-99,user_99,Python,8058,1986,8058,540,2018-09-08 10:00:00+00:00,2026-08-15 12:00:00+00:00,Apache License 2.0
